title,location,price,total_cost,condominio,iptu,size,quartos,banheiros,link
Aluguel de apartamento ,"Fortaleza, Meireles",R$ 2.000,790.0,670.0,120.0,65m²,1,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/aluguel-de-apartamento-1290869080
Aluga-se apartamento com ou sem mobília próximo ao Campus do Pici - UFC,"Fortaleza, Parquelândia",R$ 1.000,0.0,0.0,0.0,30m²,1,1,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/aluga-se-apartamento-com-ou-sem-mobilia-proximo-ao-campus-do-pici-ufc-1269086302
Lindo apartamento com 2 quartos e ampla varanda no Papicu!!! Lazer completo!,"Fortaleza, Papicu",R$ 2.800,530.0,530.0,0.0,58m²,2,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/lindo-apartamento-com-2-quartos-e-ampla-varanda-no-papicu-lazer-completo-1295571815
Apartamento com 3 quartos no bairro Aldeota - Fortaleza/CE,"Fortaleza, Aldeota",R$ 3.500,871.0,740.0,131.0,74m²,3,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-3-quartos-no-bairro-aldeota-fortaleza-ce-1296314637
Apartamento Meireles 75m2,"Fortaleza, Meireles",R$ 2.200,1050.0,920.0,130.0,75m²,2,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-meireles-75m2-1296231828
Apartamento com 3 Quartos para alugar no bairro Cocó,"Fortaleza, Cocó",R$ 1.970,1400.0,1400.0,0.0,91m²,3,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-3-quartos-para-alugar-no-bairro-coco-1296106673
"Lindo apartamento semi mobiliado c/ vista para o mar, por trás do Hotel Gran Marquise","Fortaleza, Mucuripe",R$ 3.330,984.0,984.0,,70m²,3,3,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/lindo-apartamento-semi-mobiliado-c-vista-para-o-mar-por-tras-do-hotel-gran-marquise-1296067008
Apto mobiliado,"Fortaleza, Papicu",R$ 2.100,800.0,800.0,0.0,70m²,3,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apto-mobiliado-1295134889
"Apartamento com 3 dormitórios para alugar, 67 m² por R$ 2.830/mês - Fátima - Fortaleza/CE","Fortaleza, Fátima",R$ 2.200,770.0,630.0,140.0,67m²,3,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-3-dormitorios-para-alugar-67-m-por-r-2-830-mes-fatima-fortaleza-ce-1295985410
"Apartamento com 3 dormitórios, 157 m² - venda por R$ 410.000,00 ou aluguel por R$ 2.734,05","Fortaleza, Cocó",R$ 1.600,1134.0,1060.0,74.0,158m²,3,3,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-3-dormitorios-157-m-venda-por-r-410-000-00-ou-aluguel-por-r-2-734-05-1295973905
